Node_ID,Main_Tag,Detailed_Tag
38270599,Moda_Lusso,Puro_Moda_Lusso
38290252,Generalista,Generalista
38293274,Moda_Lusso,Puro_Moda_Lusso
38308379,Generalista,Generalista
38308839,Moda_Lusso,Puro_Moda_Lusso
38311798,Action_Figure,Puro_Action_Figure
38314398,Generalista,Debole_Action_Figure
38325139,Moda_Lusso,Puro_Moda_Lusso
38328696,Generalista,Generalista_Puro
38351275,Action_Figure,Puro_Action_Figure
38366028,Generalista,Generalista_Puro
38381739,Generalista,Debole_Carte_TCG
38396023,Inattivo,Inattivo
38404952,Moda_Lusso,Puro_Moda_Lusso
38407624,Moda_Lusso,Puro_Moda_Lusso
38419393,Moda_Lusso,Puro_Moda_Lusso
38426165,Multi_category,Multi_category_Fumetti_Manga_Action_Figure
38427296,Moda_Lusso,Puro_Moda_Lusso
38437830,Generalista,Generalista
38447165,Multi_category,Multi_category_Media_Vinili_Moda_Lusso
38449789,Generalista,Debole_Fumetti_Manga
38460606,Generalista,Debole_Action_Figure
38461161,Generalista,Generalista_Puro
38462516,Action_Figure,Puro_Action_Figure
38470448,Generalista,Generalista_Puro
38473437,Media_Vinili,Puro_Media_Vinili
38475332,Generalista,Generalista_Puro
38490138,Moda_Lusso,Puro_Moda_Lusso
38496356,Generalista,Debole_Moda_Lusso
38501402,Generalista,Debole_Action_Figure
38504922,Action_Figure,Puro_Action_Figure
38523387,Generalista,Debole_Fumetti_Manga
38528175,Generalista,Debole_Action_Figure
38530204,Generalista,Generalista_Puro
38534485,Generalista,Debole_Action_Figure
38534799,Generalista,Debole_Action_Figure
38545861,Moda_Lusso,Puro_Moda_Lusso
38552418,Generalista,Generalista
38556185,Multi_category,Multi_category_Gaming_Console_Carte_TCG
38566848,Generalista,Generalista
38572483,Fumetti_Manga,Puro_Fumetti_Manga
38577392,Generalista,Generalista_Puro
38611051,Generalista,Debole_Moda_Lusso
38629915,Generalista,Debole_Fumetti_Manga
38654613,Moda_Lusso,Puro_Moda_Lusso
38655528,Action_Figure,Puro_Action_Figure
38672397,Generalista,Generalista
38674238,Generalista,Generalista
38681248,Action_Figure,Puro_Action_Figure
38681290,Media_Vinili,Puro_Media_Vinili
38687301,Generalista,Generalista
38701072,Gaming_Console,Puro_Gaming_Console
38708790,Generalista,Debole_Action_Figure
38715556,Moda_Lusso,Puro_Moda_Lusso
38739618,Generalista,Debole_Action_Figure
38741362,Moda_Lusso,Puro_Moda_Lusso
38742983,Moda_Lusso,Puro_Moda_Lusso
38752678,Moda_Lusso,Puro_Moda_Lusso
38760009,Generalista,Debole_Action_Figure
38764901,Media_Vinili,Puro_Media_Vinili
38779699,Generalista,Debole_Moda_Lusso
38780841,Multi_category,Multi_category_Fumetti_Manga_Gaming_Console
38787752,Generalista,Generalista_Puro
38800592,Generalista,Generalista
38803680,Moda_Lusso,Puro_Moda_Lusso
38830545,Generalista,Generalista
38835203,Generalista,Generalista
38843636,Media_Vinili,Puro_Media_Vinili
38847268,Multi_category,Multi_category_Action_Figure_Moda_Lusso
38848426,Moda_Lusso,Puro_Moda_Lusso
38870793,Generalista,Debole_Action_Figure
38876226,Multi_category,Multi_category_Gaming_Console_Action_Figure
38882657,Generalista,Generalista_Puro
38883397,Generalista,Debole_Action_Figure
38889776,Generalista,Generalista_Puro
38900415,Generalista,Generalista_Puro
38906713,Generalista,Generalista_Puro
38912019,Multi_category,Multi_category_Fumetti_Manga_Moda_Lusso
38937133,Action_Figure,Puro_Action_Figure
