Node_ID,main_tag,detailed_tag,in_degree,out_degree,pagerank,betweenness,Community,Community_Label
128314504,Carte_TCG,Puro_Carte_TCG,0.00012097749818533752,0.00012097749818533752,8.484720059689566e-05,0.003756715154648143,22,22 - TRADING CARD GAMES
52804506,Generalista,Debole_Moda_Lusso,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
131131639,Generalista,Debole_Gaming_Console,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
19480656,Multi_category,Multi_category_Action_Figure_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
50483157,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
216525105,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
51014198,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
193664653,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
125685404,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
77404186,Multi_category,Multi_category_Carte_TCG_Fumetti_Manga,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
214646989,Multi_category,Multi_category_Carte_TCG_Gaming_Console,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
83474377,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
191233225,Moda_Lusso,Puro_Moda_Lusso,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
24696157,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
12264021,Moda_Lusso,Puro_Moda_Lusso,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
55522765,Carte_TCG,Puro_Carte_TCG,0.00012097749818533752,0.00012097749818533752,7.359215851392557e-05,0.005743698150794599,23,23 - TRADING CARD GAMES (Misto)
151733539,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
232902882,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
127661805,Multi_category,Multi_category_Carte_TCG_Gaming_Console,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
51217217,Moda_Lusso,Puro_Moda_Lusso,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
34270746,Moda_Lusso,Puro_Moda_Lusso,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
189016958,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
53667198,Multi_category,Multi_category_Fumetti_Manga_Action_Figure,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
60074890,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
85058481,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
67954847,Generalista,Debole_Gaming_Console,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
92769104,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
150708996,Generalista,Debole_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
199999938,Multi_category,Multi_category_Moda_Lusso_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
188477365,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
792523,Multi_category,Multi_category_Moda_Lusso_Action_Figure,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
56729617,Multi_category,Multi_category_Carte_TCG_Action_Figure,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
140760365,Action_Figure,Puro_Action_Figure,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
181859866,Multi_category,Multi_category_Carte_TCG_Moda_Lusso,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
227734862,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
211683243,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
57501276,Generalista,Debole_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
86463754,Generalista,Debole_Fumetti_Manga,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
131931305,Multi_category,Multi_category_Moda_Lusso_Gaming_Console,0.0,6.048874909266876e-05,1.010661994436097e-05,0.0,2,02 - TRADING CARD GAMES
213540229,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
225982848,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
200846070,Multi_category,Multi_category_Carte_TCG_Fumetti_Manga,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
165951542,Carte_TCG,Puro_Carte_TCG,6.048874909266876e-05,6.048874909266876e-05,3.779817054313432e-05,0.0,2,02 - TRADING CARD GAMES
